ID,Sale_Price,Asking_Price
1,400000,589950
2,380000,450000
3,190000,220000
4,302500,350000
5,235000,265000
6,1200000,1350000
7,290000,325000
8,310000,345000
9,400000,445000
10,251000,275000
11,2420500,2650000
12,595000,650000
13,1650000,1800000
14,1725000,1850000
15,280000,299950
16,187000,200000
17,492500,525000
18,1175000,1245000
19,600000,635000
20,638000,675000
21,450000,475000
22,1850000,1950000
23,436500,460000
24,280000,295000
25,280000,295000
26,375000,395000
27,150000,158000
28,850000,895000
29,3707700,3900000
30,295000,310000
31,500000,525000
32,210000,220000
33,1050000,1100000
34,325000,339950
35,550000,575000
36,475000,495000
37,955000,995000
38,413000,430000
39,173000,180000
40,125000,129950
41,660000,685000
42,265000,275000
43,265000,275000
44,670000,695000
45,246000,255000
46,261000,270000
47,300000,310000
48,242000,250000
49,382500,395000
50,630000,650000
51,480000,495000
52,290000,299000
53,675000,695000
54,365000,375000
55,482000,495000
56,380000,390000
57,195000,200000
58,585000,599999
59,546250,560000
60,205000,210000
61,310000,317500
62,484000,495000
63,450000,460000
64,465000,475000
65,485000,495000
66,760000,775000
67,515000,525000
68,780000,795000
69,260000,265000
70,535000,545000
71,265000,269950
72,545000,555000
73,280000,285000
74,585000,595000
75,245000,249000
76,246000,250000
77,935000,950000
78,384000,390000
79,640000,650000
80,335000,340000
81,271000,275000
82,217000,220000
83,370000,375000
84,370000,375000
85,370000,375000
86,390000,395000
87,237000,240000
88,420000,425000
89,272000,275000
90,915000,925000
91,940000,950000
92,237500,240000
93,480000,485000
94,525000,529950
95,292500,295000
96,292500,295000
97,1190000,1200000
98,387250,390000
99,283000,285000
100,298000,300000
101,760000,765000
102,328500,330000
103,239000,240000
104,650000,650000
105,275000,275000
106,475000,475000
107,234950,234950
108,300000,300000
109,565000,565000
110,650000,650000
111,1350000,1350000
112,407000,407000
113,599000,599000
114,490000,490000
115,450000,450000
116,425000,425000
117,745000,745000
118,215000,215000
119,280000,280000
120,415000,415000
121,235000,235000
122,280000,280000
123,275000,275000
124,170000,170000
125,380000,380000
126,179000,179000
127,475000,475000
128,199950,199950
129,269000,269000
130,325000,325000
131,350000,350000
132,285000,285000
133,175000,175000
134,245000,245000
135,600000,600000
136,240000,240000
137,275000,275000
138,575000,575000
139,345000,345000
140,290000,290000
141,275000,275000
142,495000,495000
143,390000,389950
144,370000,369950
145,350000,349950
146,350000,349950
